P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Major
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,Mathematics
2,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,Mathematics
4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,Mathematics
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,2,4,3,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,3,2,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,2,5,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,3,4,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,2,5,3,4,3,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,5,4,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,3,5,2,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
5,4,3,2,5,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
4,5,2,3,4,5,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
3,4,5,2,3,4,3,2,4,1,5,2,3,1,4,3,5,2,4,1,Pharmacy
